Time;21ESSAGMillWeight;21ESCriticalImpact;21ESSAGFeedPV;21ESSAGFeedHLim;21ESSMWeightHighLimit;21ESSAGMillSpeedWSP;21ESSAGMillPower;Kwh/Ton
Y-max;3200;50;4200;4200;3200;11;40000;40000
Y-min;2500;0;0;0;2500;0;0;0
Unit;t;;t/h;t/h;t;rpm;kW;kW
Date;Mill Weight;Critical Impacts;Fresh Feed;Fresh Feed - Max Limit;Mill Weight - Max Limit;Mill Speed;Mill KW;Mill Kwh/Ton
06-07-2013 21:20;3015,96;6,67;3201,52; ; ;6,68;15798,55;4,934702891
07-07-2013 02:40;3050,56;4,24;3285,39; ; ;6,75;15440,34;4,699697753
07-07-2013 08:00;3030,19;3,97;3229,15; ; ;6,62;15071,24;4,667246799
07-07-2013 13:20;3011,27;7,67;3246,85; ; ;6,66;15703,8;4,836626269
07-07-2013 18:40;2989,82;28,41;3094,09; ; ;6,19;14544,54;4,700748847
08-07-2013 00:00;3163,28;3,24;2920,53; ; ;6,4;17408,73;5,960811907
08-07-2013 05:20;3075,01;4,83;3012,36; ; ;6,75;16966,04;5,632142241
08-07-2013 10:40;3030,65;7,43;2779,15; ; ;5,86;15761,88;5,671475091
08-07-2013 16:00;3044,43;10,69;2800,27; ; ;4,62;16626,65;5,937516739
08-07-2013 21:20;3070,61;9,41;2851,56; ; ;4,31;16965,47;5,949539901
09-07-2013 02:40;3092,06;3,24;2835,85; ; ;4,24;17057;6,014775112
09-07-2013 08:00;3073,82;4,94;2766,43; ; ;4,46;16748,73;6,054275727
09-07-2013 13:20;3048,8;12,08;2870,78; ; ;4,33;16981,39;5,915252997
09-07-2013 18:40;3061,11;11,99;2993,93; ; ;4,75;17473,73;5,83638562
10-07-2013 00:00;3134,18;3,4;2761,44; ; ;4,06;17903,72;6,483472391
10-07-2013 05:20;3021,67;23,45;1868,82; ; ;3,96;12086,43;6,467412592
10-07-2013 10:40;2765,79;0,05;0; ; ;0;0;#DIV/0!
10-07-2013 16:00;2647,03;0;0; ; ;0;0;#DIV/0!
10-07-2013 21:20;2801,31;0;0; ; ;0;2,09;#DIV/0!
11-07-2013 02:40;2985,1;21,72;2372,7; ; ;2,58;11373,75;4,793589581
11-07-2013 08:00;2975,61;2,51;3333,55; ; ;1,31;13498,97;4,049427787
11-07-2013 13:20;2963,6;33,65;3192,79; ; ;2,13;13420,05;4,203236041
11-07-2013 18:40;2981,56;3,13;3172,09; ; ;3,75;13610,87;4,290820878
12-07-2013 00:00;2964,45;5,89;3264,28; ; ;5,41;13893,46;4,256209639
12-07-2013 05:20;2977,19;8,13;3011,12; ; ;4,88;14415,78;4,78751428
12-07-2013 10:40;3026,93;10,95;3249,1; ; ;5,53;16337,16;5,028210889
12-07-2013 16:00;3016,76;11,47;3039,37; ; ;6,46;15837,57;5,210806845
12-07-2013 21:20;3042,86;12,33;3204,89; ; ;1,59;16846,32;5,256442499
13-07-2013 02:40;2992,31;10,27;3261,13; ; ;4,16;15444,66;4,735984153
13-07-2013 08:00;2981,92;9,43;3148,83; ; ;5,05;14597,47;4,635839344
13-07-2013 13:20;2974,79;8,19;2827,6; ; ;4,74;14363,04;5,079586929
13-07-2013 18:40;3020,31;3,37;2524,47; ; ;4,36;14021,56;5,554258914
14-07-2013 00:00;2995,09;8,81;2829,1; ; ;4,72;15031,79;5,313276307
14-07-2013 05:20;2960,1;7,59;2864; ; ;4,1;13749,97;4,800967179
14-07-2013 10:40;2968,22;7,4;2761,02; ; ;4,08;14017,36;5,076877386
14-07-2013 16:00;2976,77;5,03;2650,52; ; ;4,06;14055,19;5,302804733
14-07-2013 21:20;2969,61;5,92;2790,36; ; ;4,65;13823,93;4,954174372
15-07-2013 02:40;2938,93;5,58;2883,92; ; ;5,29;13058,76;4,528128381
15-07-2013 08:00;2940,33;5,99;2886,41; ; ;5,49;13189,7;4,569586441
15-07-2013 13:20;2958,01;4,14;2861,98; ; ;5,82;13161,21;4,598638006
15-07-2013 18:40;3001,09;4,87;2902,41; ; ;3,89;14729,72;5,074996296
16-07-2013 00:00;2974,62;7,08;2836,18; ; ;5,49;14326,06;5,051181519
16-07-2013 05:20;2962,73;7,94;2752,18; ; ;4,92;14061,1;5,109077168
16-07-2013 10:40;2969,27;12,12;2815,92; ; ;5,58;13675,92;4,856643655
16-07-2013 16:00;2996,8;10,02;1265,96; ; ;2,75;6416,71;5,068651458
16-07-2013 21:20;3013,95;3,99;2832,2; ; ;5,84;15151,72;5,349805805
17-07-2013 02:40;2967,26;5,42;2597,65; ; ;5,56;13417,06;5,165076126
17-07-2013 08:00;2986,5;3,47;2929,44; ; ;5,62;14167,91;4,836388525
17-07-2013 13:20;3013,87;5,16;2944,88; ; ;6,14;14360,81;4,876534867
17-07-2013 18:40;3003,5;3,21;2713,3; ; ;5,63;14467,29;5,331990565
18-07-2013 00:00;3018,72;3,2;2648,28; ; ;4,89;14795,8;5,586947
18-07-2013 05:20;2990,64;4,66;2932,62; ; ;5,51;14571,62;4,968806051
18-07-2013 10:40;2995,14;11,32;2985,53; ; ;5,54;13640,48;4,56886382
18-07-2013 16:00;2989,59;9,65;2209,76; ; ;4,56;10668,78;4,828026573
18-07-2013 21:20;3024,88;10,25;3380,74; ; ;6,29;16267,52;4,811822264
19-07-2013 02:40;3056,3;5,64;3058,93; ; ;5,95;17106,74;5,592393419
19-07-2013 08:00;3002,7;4,38;2835,2; ; ;5,62;15304,49;5,398028358
19-07-2013 13:20;2998,72;14,08;2687,92; ; ;6,08;14422,85;5,365803298
19-07-2013 18:40;3020,93;3,71;2734,42; ; ;6,4;15118,87;5,52909575
20-07-2013 00:00;3030,23;5,63;2768,87; ; ;6,7;16123,89;5,823274477
20-07-2013 05:20;2980,76;5,93;2779,75; ; ;6,7;14799,6;5,324075906
20-07-2013 10:40;2983;3,57;2749,08; ; ;6,7;14163,2;5,151978116
20-07-2013 16:00;3041,5;2,34;2686,63; ; ;4,12;15163,98;5,644238321
20-07-2013 21:20;3076,57;4,92;2817,27; ; ;1,03;17428,05;6,186148292
21-07-2013 02:40;2998,79;4,35;2826,99; ; ;4,12;14957,15;5,290839373
21-07-2013 08:00;2996,65;4,04;2981,94; ; ;3,98;14880,5;4,990207717
21-07-2013 13:20;2994,87;4,24;2850,82; ; ;2,55;14635,03;5,133621204
21-07-2013 18:40;2997,96;5,61;2851,3; ; ;2,93;15327,43;5,375593589
22-07-2013 00:00;2997,45;3,09;2845,47; ; ;3,96;14803,07;5,202328614
22-07-2013 05:20;2973,91;1,55;2743,67; ; ;4,81;13434,76;4,896638444
22-07-2013 10:40;2974,17;4,11;2701,42; ; ;4,77;14179,43;5,248880219
22-07-2013 16:00;2985,82;6;2813,78; ; ;5,07;15039,2;5,344838616
22-07-2013 21:20;3028,67;5,25;2945,26; ; ;4,74;16223,16;5,508226778
23-07-2013 02:40;2975,21;1,94;2873,04; ; ;6,7;13436,96;4,676913652
23-07-2013 08:00;2983,27;1,83;2760,39; ; ;6,7;13625,73;4,936161195
23-07-2013 13:20;3000,85;6,04;3053,17; ; ;6,7;15755,41;5,160344822
23-07-2013 18:40;3039,48;7,35;3027,12; ; ;6,65;16843,52;5,564206242
24-07-2013 00:00;3047,7;3,4;2891,18; ; ;6,26;16549,26;5,724050388
24-07-2013 05:20;3015,31;2,36;2971,07; ; ;6,07;15361,26;5,170278721
24-07-2013 10:40;3017,82;5,58;2924,4; ; ;6,1;16003,64;5,472452469
24-07-2013 16:00;3013,92;6,57;2860,31; ; ;6,03;16122,64;5,636675745
24-07-2013 21:20;3053,39;7,25;2643,43; ; ;5,7;15910,67;6,018948866
25-07-2013 02:40;3070,93;45,95;2829,47; ; ;6,33;16220,69;5,732766207
25-07-2013 08:00;3007,47;3,11;3007,07; ; ;6,7;15397,92;5,120572517
25-07-2013 13:20;3025,31;5,09;2782,98; ; ;6,13;15882,07;5,706857397
25-07-2013 18:40;3025,38;6,86;2786,22; ; ;6,04;16297,61;5,849362218
26-07-2013 00:00;3017,73;2,18;2781,54; ; ;6,66;14634,53;5,261304889
26-07-2013 05:20;3002,37;1,8;2755,91; ; ;6,69;14480,48;5,254337043
26-07-2013 10:40;2987,63;3,19;2616,42; ; ;6,33;14577,22;5,571437307
26-07-2013 16:00;2892,51;12,97;285,58; ; ;0,63;1573,34;5,509279361
26-07-2013 21:20;3024,65;2,38;3121,6; ; ;6,6;15141,07;4,850419657
27-07-2013 02:40;3011,23;3,69;3031,14; ; ;6,68;15711,92;5,183501917
27-07-2013 08:00;3005,9;4,34;3030,76; ; ;6,69;15819,78;5,219740263
27-07-2013 13:20;3036,52;3,72;3041,09; ; ;6,26;16363,84;5,380912765
27-07-2013 18:40;3034,66;4,22;2725,19; ; ;6,43;16242,33;5,960072509
28-07-2013 00:00;3049,87;3,96;2822,88; ; ;6,71;16595,68;5,878988834
28-07-2013 05:20;3021,52;3,53;2937,48; ; ;6,71;16045,67;5,462392935
28-07-2013 10:40;3018,13;3,35;3001,63; ; ;6,61;16016,33;5,335877507
28-07-2013 16:00;3030,5;2;2919,67; ; ;6,15;15663,19;5,36471245
28-07-2013 21:20;3082,26;4,74;3217,02; ; ;6,29;17907,6;5,566518082
29-07-2013 02:40;3042,57;5,5;3324,31; ; ;6,74;17115,57;5,148608283
29-07-2013 08:00;3007,26;4,66;3457,65; ; ;6,75;16189,33;4,682177201
29-07-2013 13:20;3019,94;2,35;3303,03; ; ;6,5;15696,7;4,752212363
29-07-2013 18:40;3040,86;2,05;3467,08; ; ;6,39;16391,88;4,727863216
30-07-2013 00:00;3047,04;5,55;3468,35; ; ;6,7;17151,27;4,945080514
30-07-2013 05:20;3013,78;3,57;3473,36; ; ;6,73;16035,17;4,616616187
30-07-2013 10:40;3085,6;3,72;3491,49; ; ;6,71;17838,83;5,109231302
30-07-2013 16:00;3130,99;3,95;3319,16; ; ;6,51;18800,56;5,664252401
30-07-2013 21:20;3115,05;6,98;3215,93; ; ;6,49;19134,65;5,949958488
31-07-2013 02:40;3053,03;8,04;3398,68; ; ;5,73;17749,03;5,222330434
31-07-2013 08:00;3021,05;2,14;2166,38; ; ;1,95;14401,25;6,647610299
31-07-2013 13:20;3041,5;0,48;1905,09; ; ;1,75;13108,29;6,880667055
31-07-2013 18:40;3065,51;0,73;2092,7; ; ;2,05;13749,05;6,570005256
01-08-2013 00:00;3101,27;0,87;2069,87; ; ;2,54;15370,26;7,425712726
01-08-2013 05:20;3034,75;1,22;1840,18; ; ;3,51;13828,67;7,514846374
01-08-2013 10:40;3069,93;1,12;1868,85; ; ;1,63;14245,03;7,622350643
01-08-2013 16:00;3028,97;0,89;1920,79; ; ;2,06;13420,55;6,986994934
01-08-2013 21:20;3046,75;0,53;1939,24; ; ;2,9;13118,53;6,764778986
02-08-2013 02:40;3052,41;0,58;1968,1; ; ;3,14;13047,38;6,629429399
02-08-2013 08:00;3018,38;0,85;1781,14; ; ;2,3;12707,35;7,134391457
02-08-2013 13:20;3056,67;0,48;2086,08; ; ;0,07;13412;6,429283632
02-08-2013 18:40;3006,92;0,85;1995,53; ; ;0,74;12545,06;6,286580507
03-08-2013 00:00;3020,07;0,44;1992,19; ; ;4,34;11929,33;5,988048329
03-08-2013 05:20;3028,77;0,32;2042,44; ; ;4,42;11989,36;5,870116136
03-08-2013 10:40;3039,55;0,65;2236,31; ; ;4,11;13229,34;5,915700417
03-08-2013 16:00;3033,37;0,96;2424,11; ; ;2,99;14046,85;5,794642157
03-08-2013 21:20;3045,47;1,77;2937,87; ; ;4,27;15897;5,411063117
04-08-2013 02:40;3046,5;2,65;2839,33; ; ;3,98;16120,75;5,67765987
04-08-2013 08:00;3036,13;0,96;2848,86; ; ;2,9;15270,41;5,36018267
